# time, kinetic_energy, enstrophy, ke_dissipation
1.3800000000e+01,4.0934083449e-02,2.1749192466e+00,4.9883962264e-03
1.4000000000e+01,3.9956941707e-02,2.0980090756e+00,4.7783720232e-03
1.4200000000e+01,3.9022734639e-02,2.0294121225e+00,4.5649854040e-03
1.4400000000e+01,3.8130947546e-02,1.9672101670e+00,4.3618417303e-03
1.4600000000e+01,3.7277997947e-02,1.9069260010e+00,4.1698444269e-03
1.4800000000e+01,3.6463009775e-02,1.8487433146e+00,3.9827014931e-03
1.5000000000e+01,3.5684917350e-02,1.7939105824e+00,3.8047330421e-03
1.5200000000e+01,3.4941116558e-02,1.7435144855e+00,3.6484453808e-03
1.5400000000e+01,3.4225539198e-02,1.6961774926e+00,3.5106488810e-03
1.5600000000e+01,3.3536857006e-02,1.6520156152e+00,3.3736119008e-03
1.5800000000e+01,3.2876094437e-02,1.6100599396e+00,3.2334089535e-03
1.6000000000e+01,3.2243493424e-02,1.5705772329e+00,3.1002309393e-03
1.6200000000e+01,3.1636002062e-02,1.5330852843e+00,2.9868889730e-03
1.6400000000e+01,3.1048737835e-02,1.4981168956e+00,2.8948059066e-03
1.6600000000e+01,3.0478079699e-02,1.4660777183e+00,2.8137485811e-03
1.6800000000e+01,2.9923238403e-02,1.4359752434e+00,2.7388091180e-03
1.7000000000e+01,2.9382556052e-02,1.4055586881e+00,2.6713475215e-03
1.7200000000e+01,2.8854699394e-02,1.3731728127e+00,2.6020386553e-03
1.7400000000e+01,2.8341740590e-02,1.3384973976e+00,2.5252157312e-03
1.7600000000e+01,2.7844613102e-02,1.3023848143e+00,2.4445161234e-03
1.7800000000e+01,2.7363934140e-02,1.2659091328e+00,2.3609269057e-03
1.8000000000e+01,2.6900242339e-02,1.2295054807e+00,2.2765264934e-03
1.8200000000e+01,2.6453323543e-02,1.1935143830e+00,2.1929230341e-03
1.8400000000e+01,2.6023073126e-02,1.1585777834e+00,2.1123858757e-03
1.8600000000e+01,2.5608369193e-02,1.1252690043e+00,2.0374052651e-03
1.8800000000e+01,2.5208111020e-02,1.0934591886e+00,1.9676283749e-03
1.9000000000e+01,2.4821317843e-02,1.0630984493e+00,1.9025887357e-03
1.9200000000e+01,2.4447075525e-02,1.0341706137e+00,1.8410185641e-03
1.9400000000e+01,2.4084910417e-02,1.0069523143e+00,1.7816984932e-03
1.9600000000e+01,2.3734396128e-02,9.8175721298e-01,1.7245726450e-03
1.9800000000e+01,2.3395081359e-02,9.5850183159e-01,1.6704731721e-03
2.0000000000e+01,2.3066206859e-02,9.3697106546e-01,1.6443724992e-03
