# time, kinetic_energy, enstrophy, ke_dissipation
1.3800000000e+01,4.0933832041e-02,2.1751439288e+00,4.9888336591e-03
1.4000000000e+01,3.9956588409e-02,2.0982362798e+00,4.7792382304e-03
1.4200000000e+01,3.9022136749e-02,2.0295756357e+00,4.5660295437e-03
1.4400000000e+01,3.8130176591e-02,1.9674288623e+00,4.3625484044e-03
1.4600000000e+01,3.7277117387e-02,1.9072638344e+00,4.1704280223e-03
1.4800000000e+01,3.6462005382e-02,1.8491066489e+00,3.9827847490e-03
1.5000000000e+01,3.5684003488e-02,1.7945396708e+00,3.8049767676e-03
1.5200000000e+01,3.4940014675e-02,1.7440033326e+00,3.6494837598e-03
1.5400000000e+01,3.4224209984e-02,1.6965129400e+00,3.5114147801e-03
1.5600000000e+01,3.3535448763e-02,1.6522188480e+00,3.3735421173e-03
1.5800000000e+01,3.2874793137e-02,1.6101459981e+00,3.2327576814e-03
1.6000000000e+01,3.2242345690e-02,1.5705837168e+00,3.0993353885e-03
1.6200000000e+01,3.1635058981e-02,1.5329493536e+00,2.9857713614e-03
1.6400000000e+01,3.1048037146e-02,1.4977968081e+00,2.8931430504e-03
1.6600000000e+01,3.0477801761e-02,1.4656775313e+00,2.8117626667e-03
1.6800000000e+01,2.9923332079e-02,1.4355861305e+00,2.7376238006e-03
1.7000000000e+01,2.9382752241e-02,1.4050894613e+00,2.6705407678e-03
1.7200000000e+01,2.8855115772e-02,1.3725921117e+00,2.6007556700e-03
1.7400000000e+01,2.8342449973e-02,1.3379249707e+00,2.5240644910e-03
1.7600000000e+01,2.7845489976e-02,1.3018876843e+00,2.4436782192e-03
1.7800000000e+01,2.7364978685e-02,1.2654704940e+00,2.3603394106e-03
1.8000000000e+01,2.6901354211e-02,1.2291015381e+00,2.2762368229e-03
1.8200000000e+01,2.6454483956e-02,1.1931426502e+00,2.1927463685e-03
1.8400000000e+01,2.6024255664e-02,1.1582243062e+00,2.1121743264e-03
1.8600000000e+01,2.5609614226e-02,1.1249300364e+00,2.0370452640e-03
1.8800000000e+01,2.5209437558e-02,1.0931636633e+00,1.9673366383e-03
1.9000000000e+01,2.4822679570e-02,1.0628370572e+00,1.9024351356e-03
1.9200000000e+01,2.4448463504e-02,1.0339251309e+00,1.8409342265e-03
1.9400000000e+01,2.4086305880e-02,1.0066987442e+00,1.7816715490e-03
1.9600000000e+01,2.3735794885e-02,9.8148475833e-01,1.7245608261e-03
1.9800000000e+01,2.3396481549e-02,9.5821546862e-01,1.6704637343e-03
2.0000000000e+01,2.3067609391e-02,9.3667479773e-01,1.6443607918e-03
