Resolution, L1,         L2,          Linf
128,       1.262842e-04,3.006748e-04,1.278738e-03
256,       6.437110e-06,1.750551e-05,7.790240e-05
512,       1.595239e-07,4.259743e-07,1.629096e-06
1024,      4.248875e-09,1.112927e-08,4.848128e-08
2048,      1.269831e-10,3.295168e-10,1.517758e-09
